id,timestamp,temperature,humidity,pressure,device_id
1,2026-03-30 19:16:10.910298,24.5,62.0,1013.2,SIMULATOR-01
2,2026-03-30 19:20:09.386012,27.27,48.03906,1012.627,ESP32-LettuVault-01
3,2026-03-30 19:20:14.256502,27.26,48.59961,1012.652,ESP32-LettuVault-01
4,2026-03-30 19:20:19.255965,27.25,48.68652,1012.669,ESP32-LettuVault-01
5,2026-03-30 19:20:24.256989,27.23,49.04785,1012.678,ESP32-LettuVault-01
6,2026-03-30 19:20:29.265416,27.2,49.55078,1012.661,ESP32-LettuVault-01
7,2026-03-30 19:20:34.257322,27.15,49.62305,1012.689,ESP32-LettuVault-01
8,2026-03-30 19:20:39.261534,27.19,49.53809,1012.659,ESP32-LettuVault-01
9,2026-03-30 19:20:44.258656,27.14,49.55566,1012.692,ESP32-LettuVault-01
10,2026-03-30 19:20:49.264835,27.14,49.73047,1012.716,ESP32-LettuVault-01
11,2026-03-30 19:20:54.266443,27.05,49.43457,1012.746,ESP32-LettuVault-01
12,2026-03-30 19:20:59.263216,27.08,49.69238,1012.741,ESP32-LettuVault-01
13,2026-03-30 19:21:04.268965,27.05,49.73242,1012.744,ESP32-LettuVault-01
14,2026-03-30 19:21:09.263975,27.09,49.86914,1012.771,ESP32-LettuVault-01
15,2026-03-30 19:21:14.278323,27.08,49.82324,1012.749,ESP32-LettuVault-01
16,2026-03-30 19:21:19.283856,27.12,51.03906,1012.739,ESP32-LettuVault-01
17,2026-03-30 19:21:24.269759,27.15,50.2832,1012.749,ESP32-LettuVault-01
18,2026-03-30 19:21:29.281333,27.21,51.15918,1012.677,ESP32-LettuVault-01
19,2026-03-30 19:21:34.274181,27.22,50.45605,1012.662,ESP32-LettuVault-01
20,2026-03-30 19:21:39.281234,27.23,50.47852,1012.668,ESP32-LettuVault-01
21,2026-03-30 19:21:44.286131,27.26,50.58105,1012.705,ESP32-LettuVault-01
22,2026-03-30 19:21:49.277785,27.27,50.72559,1012.698,ESP32-LettuVault-01
23,2026-03-30 19:38:26.543810,26.2,45.6377,1012.782,ESP32-LettuVault-01
24,2026-03-30 19:38:31.522930,26.24,45.37891,1012.783,ESP32-LettuVault-01
25,2026-03-30 19:39:12.439831,26.44,44.89355,1012.793,ESP32-LettuVault-01
26,2026-03-30 19:39:17.436104,26.4,44.58008,1012.787,ESP32-LettuVault-01
27,2026-03-30 19:39:22.437070,26.39,44.52539,1012.789,ESP32-LettuVault-01
28,2026-03-30 19:39:27.441691,26.41,44.64844,1012.78,ESP32-LettuVault-01
29,2026-03-30 19:39:32.441224,26.47,44.88477,1012.77,ESP32-LettuVault-01
30,2026-03-30 19:39:37.443119,26.47,44.60938,1012.788,ESP32-LettuVault-01
31,2026-03-30 19:40:22.740156,26.72,43.58789,1012.789,ESP32-LettuVault-01
32,2026-03-30 19:40:27.710991,26.73,43.56641,1012.768,ESP32-LettuVault-01
33,2026-03-30 19:40:32.713041,26.74,43.55664,1012.779,ESP32-LettuVault-01
34,2026-03-30 19:40:37.712963,26.76,43.44922,1012.733,ESP32-LettuVault-01
35,2026-03-30 19:40:42.714386,26.8,43.35352,1012.804,ESP32-LettuVault-01
36,2026-03-30 19:40:47.716816,26.8,43.36523,1012.762,ESP32-LettuVault-01
